Category,Capability,Company user — no active paid plan,Company user — active paid plan,Client-side user — no active paid plan,Client-side user — active paid plan,Subcontractor-side user — no active paid plan,Subcontractor-side user — active paid plan,Minimum plan / entitlement,Whose plan controls access,Role / capability requirement,Implementation note
Important assumption,How plan state is interpreted,Crew free fallback,TRIALING or ACTIVE paid tier,Crew free fallback for the client company,TRIALING or ACTIVE paid tier for the client company,Crew free fallback for the provider company,TRIALING or ACTIVE paid tier for the provider company,Crew / paid tier,Active company unless noted,A user still needs an ACTIVE company membership,Normative interpretation. Current resolver selects any subscription row without filtering PAST_DUE/CANCELED; that should be corrected if this matrix becomes policy.
Account,"Register, sign in, reset password, verify email",Yes,Yes,Yes,Yes,Yes,Yes,None,User account,Public/authenticated user,Implemented or in Phase 5 UI completion.
Account,"Accept member, engagement, or client-portal invitation",Yes,Yes,Yes,Yes,Yes,Yes,None,Inviting company / token,Valid unexpired invite token,Implemented.
Account,Manage own profile and switch between member companies,Yes,Yes,Yes,Yes,Yes,Yes,None,User account,Active membership for each company,Implemented / Phase 5 UI completion.
Company administration,Edit company name and currency,Yes,Yes,Yes,Yes,Yes,Yes,None,Own company,OWNER or ADMIN,Implemented. Plan position does not change this.
Company administration,Invite and manage internal team members,Yes — limited to 1 total internal seat,Yes — Starter 2; Pro 8; Business 25; Enterprise unlimited,Yes — same own-company seat limit,Yes — tier seat limit,Yes — same own-company seat limit,Yes — tier seat limit,internal_seats limit,Own company,OWNER/ADMIN/MANAGER for management actions,Core capability; exact member-route enforcement should match the limit.
Relationships,View direct client/provider relationships,Yes,Yes,Yes — direct edges only,Yes — direct edges only,Yes — direct edges only,Yes — direct edges only,None,None,Any active member; one-hop company scope,Implemented. Relationship visibility never traverses beyond one edge.
Relationships,Create or invite a downstream subcontractor/provider,No,Yes — Starter+; within tier limit,No,Yes — Starter+ when this company is hiring,No,Yes — Starter+ when this provider also hires downstream,operates_downstream + active_subcontractors,Hiring/client company,OWNER/ADMIN/MANAGER,Implemented. Crew fallback has operates_downstream=false and limit 0.
Relationships,Pause or end an existing direct engagement,Yes — if an edge already exists,Yes,Yes — direct edge,Yes — direct edge,Yes — direct edge,Yes — direct edge,None,None,OWNER/ADMIN/MANAGER on either endpoint,Implemented; creation and ongoing management have different plan rules.
Relationships,Invite a client into a branded/project portal,No,Yes — Starter+,N/A on this edge; possible only when acting as provider elsewhere,Starter+ when acting as provider elsewhere,No,Yes — Starter+,client_portal + clients limit,Provider company,OWNER/ADMIN/MANAGER,Implemented. A provider sells/provisions the portal.
Projects,"View owned, directly related, assigned, or published projects",Yes — within company/assignment scope,Yes,Conditional — portal requires provider Starter+ and project published,Conditional — own paid plan does not unlock another provider's portal,Yes — assigned or owned projects,Yes — assigned or owned projects,None for own/assigned; client_portal for portal,Provider plan controls client portal,Any active member; one-hop and project visibility rules,Implemented.
Projects,"Create, edit, archive, and summarize own projects",Yes,Yes,Yes — for own company projects,Yes,Yes — for own company projects,Yes,None in current core specification,Own company,OWNER/ADMIN/MANAGER for mutations,Implemented; not currently plan-gated.
Projects,Assign subcontractors to projects,No — cannot create downstream provider edge,Yes — Starter+ with existing provider engagement,No,Yes — Starter+ when hiring,No,Yes — Starter+ when hiring downstream,operates_downstream + active_subcontractors,Project owner/hiring company,OWNER/ADMIN/MANAGER,Implemented.
Work capture,Log and edit time on an assigned project,Conditional — yes only as assigned provider,Conditional — yes only as assigned provider,No on the client side,No on the client side,Yes,Yes,None,Provider company,Provider-side active member; DRAFT/REJECTED only for edits,Implemented; free Crew plan is explicitly designed for this.
